Pomerance CUDA x16halvenonsplit prototype

p = 1000000000000000000000000103
mode = x16ecoverd3probe
seed_offset = 0
seed_mode = identity
max_trials = 100000000
chunk_trials = 100000000
probe_target_depth = 24
probe_prefix_filter_depth = 7
probe_bucket_bits = 6
k = 45
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=64

  probe_trials=97753692 elapsed=38.411 rate_Mps=2.544930 target_survivors=712 y_draws=1564120572
  probe_trials=97847628 elapsed=38.449 rate_Mps=2.544865 target_survivors=714 y_draws=1565673559
  probe_trials=97936538 elapsed=38.485 rate_Mps=2.544803 target_survivors=714 y_draws=1567133681
  probe_trials=98020000 elapsed=38.519 rate_Mps=2.544744 target_survivors=716 y_draws=1568503971
  probe_trials=98099566 elapsed=38.551 rate_Mps=2.544652 target_survivors=718 y_draws=1569822888
  probe_trials=98174890 elapsed=38.582 rate_Mps=2.544591 target_survivors=718 y_draws=1571071906
  probe_trials=98246226 elapsed=38.611 rate_Mps=2.544527 target_survivors=718 y_draws=1572256460
  probe_trials=98313870 elapsed=38.639 rate_Mps=2.544447 target_survivors=722 y_draws=1573395623
  probe_trials=98378240 elapsed=38.665 rate_Mps=2.544389 target_survivors=722 y_draws=1574466904
  probe_trials=98439894 elapsed=38.690 rate_Mps=2.544331 target_survivors=722 y_draws=1575499211
  probe_trials=98498488 elapsed=38.714 rate_Mps=2.544256 target_survivors=722 y_draws=1576484993
  probe_trials=98554590 elapsed=38.737 rate_Mps=2.544176 target_survivors=722 y_draws=1577433689
  probe_trials=98607980 elapsed=38.759 rate_Mps=2.544104 target_survivors=722 y_draws=1578333772
  probe_trials=98658770 elapsed=38.781 rate_Mps=2.544010 target_survivors=722 y_draws=1579192744
  probe_trials=98707338 elapsed=38.801 rate_Mps=2.543946 target_survivors=722 y_draws=1580019362
  probe_trials=98753838 elapsed=38.820 rate_Mps=2.543877 target_survivors=722 y_draws=1580813042
  probe_trials=98798656 elapsed=38.839 rate_Mps=2.543814 target_survivors=724 y_draws=1581579433
  probe_trials=98841448 elapsed=38.857 rate_Mps=2.543739 target_survivors=724 y_draws=1582313205
  probe_trials=98882426 elapsed=38.874 rate_Mps=2.543672 target_survivors=724 y_draws=1583021537
  probe_trials=98921912 elapsed=38.890 rate_Mps=2.543616 target_survivors=724 y_draws=1583697193
  probe_trials=98959642 elapsed=38.906 rate_Mps=2.543527 target_survivors=724 y_draws=1584358513
  probe_trials=98995976 elapsed=38.922 rate_Mps=2.543455 target_survivors=724 y_draws=1584995789
  probe_trials=99030646 elapsed=38.937 rate_Mps=2.543379 target_survivors=724 y_draws=1585599050
  probe_trials=99064066 elapsed=38.951 rate_Mps=2.543295 target_survivors=724 y_draws=1586193624
